Year,Forest_type,Observers,Sample.Label,Month,Noise_Level,Effort,Area,Region.Label,distance,date,Time_Detected
2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.012,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.012,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.015,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.015,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.021,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.021,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.021,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.021,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,2,6,77.715,YELL,0.025,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,2,6,77.715,YELL,0.025,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.04,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.044,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.044,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.05,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.05,9/8/2019,1
2019,PIFL,TM/AC,Mammoth,8,4,7,77.715,YELL,0.015,8/7/2019,1
2019,PIFL,TM/AC,Mammoth,8,3,7,77.715,YELL,0.286,8/7/2019,1
2019,PIFL,TM/KL,Mammoth,9,5,7,77.715,YELL,0.105,9/8/2019,1
2019,PIFL,TM/KL,Mammoth,10,5,7,77.715,YELL,NA,10/11/2019,0
2019,PSME,DT/WW,Trout Lake,9,2,7,77.715,YELL,NA,9/8/2019,0
2019,PSME,TM/KL,Trout Lake,8,0,7,77.715,YELL,NA,7/30/2019,0
2020,PSME,TM/AD,Bear Jam,8,2,7,77.715,YELL,0.077,7/28/2020,1
2020,PSME,TM/AD,Bear Jam,8,2,7,77.715,YELL,0.077,7/28/2020,1
2020,PSME,TM/AD,Bear Jam,8,2,7,77.715,YELL,0.094,7/28/2020,1
2020,PICO,TM/AD,DeLacy North,8,3,7,77.715,YELL,0.063,8/7/2020,1
2020,PIFL,TM/AD,Confluence,8,3,4,77.715,YELL,0.191,8/4/2020,1
2020,PIFL,TM/AD,Confluence,8,3,4,77.715,YELL,0.191,8/4/2020,1
2020,PIFL,TM/AD,Confluence,8,3,4,77.715,YELL,0.191,8/4/2020,1
2020,PIFL,TM/AD,Confluence,8,3,4,77.715,YELL,0.191,8/4/2020,1
2020,PIAL,TM/AD,DeLacy South,8,2,7,77.715,YELL,0.016,7/29/2020,1
2020,PIAL,TM/AD,DeLacy South,8,2,7,77.715,YELL,0.024,8/7/2020,1
2020,PIAL,TM/AD,DeLacy South,8,2,7,77.715,YELL,0.018,8/7/2020,1
2020,PIAL,TM/AD,DeLacy South,8,2,7,77.715,YELL,0.029,8/7/2020,1
2020,PIAL,TM/AD,DeLacy South,8,2,7,77.715,YELL,0.027,8/7/2020,1
2020,PIAL,TM/AD,Dunraven,8,0,6,77.715,YELL,0.015,8/9/2020,1
2020,PSME,TM/AD,Trout Lake,8,0,7,77.715,YELL,0.06,8/10/2020,1
2020,PIFL,TM/DT,Mammoth,9,3,7,77.715,YELL,0.0275,9/11/2020,1
2020,PIFL,TM/DT,Mammoth,9,4,7,77.715,YELL,0.5,9/11/2020,1
2020,PIAL,TM/WW,Avalanche Peak,9,2,5,77.715,YELL,0.1,9/10/2020,1
2020,PIAL,DT/DS,Dunraven,9,0,6,77.715,YELL,0.0145,9/10/2020,1
2020,PIAL,DT/DS,Dunraven,9,0,6,77.715,YELL,0.0285,9/10/2020,1
2020,PSME,TM/LW,Trout Lake,9,2,7,77.715,YELL,0.037,9/8/2020,1
2020,PSME,TM/WW,Bear Jam,9,2,7,77.715,YELL,0.071,9/7/2020,1
2020,PSME,TM/WW,Bear Jam,9,3,7,77.715,YELL,0.091,9/7/2020,1
2020,PIFL,TM/DT,Confluence,9,3,4,77.715,YELL,0.18,9/6/2020,1
2020,PIFL,TM/DT,Confluence,9,3,4,77.715,YELL,0.058,9/6/2020,1
2020,PIFL,TM/DT,Confluence,9,3,4,77.715,YELL,0.176,9/6/2020,1
2020,PIFL,TM/DT,Confluence,9,3,4,77.715,YELL,0.299,9/6/2020,1
2020,PIFL,TM/DT,Confluence,9,3,4,77.715,YELL,0.163,9/6/2020,1
2020,PIFL,TM/DT,Confluence,9,2,4,77.715,YELL,0.0115,9/6/2020,1
2020,PIFL,TM/DT,Confluence,9,2,4,77.715,YELL,0.036,9/6/2020,1
2020,PIFL,TM/DT,Confluence,9,3,4,77.715,YELL,0.086,9/6/2020,1
2020,PIFL,TM/DT,Confluence,9,3,4,77.715,YELL,0.121,9/6/2020,1
2020,PIFL,TM/DT,Confluence,9,3,4,77.715,YELL,0.084,9/6/2020,1
2020,PIFL,TM/DT,Confluence,9,3,4,77.715,YELL,0.1,9/6/2020,1
2020,PIFL,TM/DT,Confluence,9,3,4,77.715,YELL,0.102,9/6/2020,1
2020,PIFL,TM/DT,Confluence,9,3,4,77.715,YELL,0.06,9/6/2020,1
2020,PIAL,TM/DT,Dunraven,10,0,6,77.715,YELL,0.045,10/9/2020,1
2020,PIAL,TM/DT,Dunraven,10,0,6,77.715,YELL,0.015,10/9/2020,1
2020,PIAL,TM/DT,Dunraven,10,0,6,77.715,YELL,0.006,10/9/2020,1
2020,PIAL,TM/DT,Dunraven,10,0,6,77.715,YELL,0.041,10/9/2020,1
2020,PSME,AC/WW,Trout Lake,10,3,7,77.715,YELL,0.042,10/7/2020,1
2020,PSME,AC/WW,Trout Lake,10,3,7,77.715,YELL,0.042,10/7/2020,1
2020,PSME,AC/WW,Trout Lake,10,3,7,77.715,YELL,0.042,10/7/2020,1
2020,PIEN,AC/WW,Baronette,10,2,4,77.715,YELL,0.054,10/8/2020,1
2020,PIFL,TM,Mammoth,10,3,7,77.715,YELL,0.1,10/8/2020,1
2020,PIEN,TM/WW,West Thumb,8,1,4,77.715,YELL,NA,7/31/2020,0
2020,PIEN,TM/WW,West Thumb,8,1,4,77.715,YELL,NA,8/6/2020,0
2020,PIEN,TM/WW,West Thumb,9,1,4,77.715,YELL,NA,9/10/2020,0
2020,PIEN,TM/WW,West Thumb,10,1,4,77.715,YELL,NA,10/9/2020,0
2019,PIAL,TM/WW,Avalanche Peak,8,2,5,77.715,YELL,NA,8/1/2019,0
2020,PIAL,TM/WW,Avalanche Peak,8,2,5,77.715,YELL,NA,8/8/2020,0
2020,PIAL,TM/WW,Avalanche Peak,8,2,5,77.715,YELL,NA,8/5/2020,0
2020,PIEN,AC/WW,Baronette,8,2,4,77.715,YELL,NA,7/14/2020,1
2020,PIEN,AC/WW,Baronette,8,2,4,77.715,YELL,NA,8/4/2020,1
2020,PIEN,AC/WW,Baronette,9,2,4,77.715,YELL,NA,9/6/2020,1
2019,PSME,TM/WW,Bear Jam,10,3,7,77.715,YELL,NA,10/12/2019,1
2020,PSME,TM/WW,Bear Jam,10,3,7,77.715,YELL,NA,10/10/2020,1
2020,PSME,TM/AD,Bear Jam,8,2,7,77.715,YELL,NA,8/2/2020,1
2019,PSME,TM/DT,Bear Jam,9,2,7,77.715,YELL,NA,9/6/2019,1
2020,PICO,TM/KL,Canyon,8,0,7,77.715,YELL,NA,8/1/2020,0
2020,PICO,TM/KL,Canyon,8,0,7,77.715,YELL,NA,7/27/2020,0
2020,PICO,TM/KL,Canyon,9,0,7,77.715,YELL,NA,9/8/2020,0
2020,PICO,TM/KL,Canyon,10,0,7,77.715,YELL,NA,10/10/2020,0
2020,PIFL,TM/DT,Confluence,10,3,4,77.715,YELL,NA,10/8/2020,0
2020,PICO,TM/AD,DeLacy North,8,3,7,77.715,YELL,NA,7/29/2020,0
2020,PICO,TM/AD,DeLacy North,9,3,7,77.715,YELL,NA,9/9/2020,0
2020,PICO,TM/AD,DeLacy North,10,3,7,77.715,YELL,NA,10/13/2020,0
2019,PIAL,DT/TM/AC,DeLacy South,9,1,7,77.715,YELL,NA,9/7/2019,0
2020,PIAL,TM/AD,DeLacy South,9,2,7,77.715,YELL,NA,9/9/2020,0
2020,PIAL,TM/AD,DeLacy South,10,2,7,77.715,YELL,NA,10/7/2020,0
2020,PIFL,TM/AC,Mammoth,8,4,7,77.715,YELL,NA,7/28/2020,0
2020,PIFL,TM/AC,Mammoth,8,4,7,77.715,YELL,0.076,8/10/2020,1
2019,PSME,DT/WW,Trout Lake,10,2,7,77.715,YELL,NA,10/12/2019,0
2020,PSME,TM/AD,Trout Lake,8,0,7,77.715,YELL,NA,8/3/2020,0
2020,PIAL,TM/WW,Avalanche Peak,9,2,5,77.715,YELL,NA,9/10/2020,0
2020,PIFL,TM/DT,Confluence,8,2,4,77.715,YELL,NA,7/30/2020,0
2019,PICO,TM/AC,DeLacy North,8,0,7,77.715,YELL,NA,8/11/2019,0
2020,PIAL,TM/AD,Dunraven,8,0,6,77.715,YELL,NA,8/11/2020,0
2020,PIFL,TM/AC,Mammoth,8,4,7,77.715,YELL,0.123,8/10/2020,1
